H	Summary
H	SCFiller:false
H	path	/data/2/rpark/ip2_data//ehall/Kiskinis_Lab_NU/EXP19_CYT_050316_2016_05_03_09_33950/search/projects2016_05_09_15_84074/
H	path	/data/2/rpark/ip2_data//ehall/Kiskinis_Lab_NU/EXP19_NUC_050316_2016_05_03_09_33951/search/projects2016_05_09_16_84075/
SLine	dataset	intersection	intersection	unique	all_union
S	dataset	EXP19_CYT_050316(searched:2016-05-09)	EXP19_NUC_050316(searched:2016-05-09)
S	EXP19_CYT_050316(searched:2016-05-09)	6984	3077	3907	9068	
S	EXP19_NUC_050316(searched:2016-05-09)	3077	5161	2084	9068	


S	CumulativeProteinCounts	6984	9068	

PLine	Accession	peptide_count_EXP19_CYT_050316(searched:2016-05-09)	peptide_count_EXP19_NUC_050316(searched:2016-05-09)	NSAF_EXP19_CYT_050316(searched:2016-05-09)	NSAF_EXP19_NUC_050316(searched:2016-05-09)	EMPAI_EXP19_CYT_050316(searched:2016-05-09)	EMPAI_EXP19_NUC_050316(searched:2016-05-09)	spectral_count_EXP19_CYT_050316(searched:2016-05-09)	spectral_count_EXP19_NUC_050316(searched:2016-05-09)	seqcov_EXP19_CYT_050316(searched:2016-05-09)	seqcov_EXP19_NUC_050316(searched:2016-05-09)	description	occurrence	status
P	tr|E7EPC8|E7EPC8_HUMAN	6	2	4.4651195E-5	2.3243243E-5	0.1428783	0.09900582	6	2	5.8%	4.1%	Catenin delta-2 OS=Homo sapiens GN=CTNND2 PE=2 SV=1 	2	1_1_	1_1_
P	Q9GZY8-2	13	0	5.5100495E-4	0	1.4831331	0	19	0	39.5%	0	Isoform 2 of Mitochondrial fission factor OS=Homo sapiens GN=MFF 	1	1_0_	1_0_
P	tr|H9KVB8|H9KVB8_HUMAN	1	0	1.7729153E-5	0	0.096478224	0	1	0	4.0%	0	Calcium uptake protein 1, mitochondrial OS=Homo sapiens GN=MICU1 PE=2 SV=1 	1	1_0_	1_0_
P	tr|B0YIW2|B0YIW2_HUMAN	1	0	7.212886E-5	0	0.3708818	0	1	0	13.7%	0	Apolipoprotein C-III OS=Homo sapiens GN=APOC3 PE=2 SV=1 	1	1_0_	1_0_
P	tr|H0Y4X3|H0Y4X3_HUMAN	4	0	1.00167075E-4	0	0.21059811	0	4	0	8.3%	0	RNA-binding protein 39 (Fragment) OS=Homo sapiens GN=RBM39 PE=4 SV=1 	1	1_0_	1_0_
P	Q6IN85	4	0	5.065472E-5	0	0.054386854	0	5	0	2.3%	0	Serine/threonine-protein phosphatase 4 regulatory subunit 3A OS=Homo sapiens GN=SMEK1 PE=1 SV=1 	1	1_0_	1_0_
P	P26440-2	2	0	6.442043E-5	0	0.42232883	0	3	0	15.3%	0	Isoform 2 of Isovaleryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=IVD 	1	1_0_	1_0_
P	P18754-2	0	19	0	8.1639324E-4	0	1.2387211	0	28	0	35.0%	Isoform 2 of Regulator of chromosome condensation OS=Homo sapiens GN=RCC1 	1	0_1_	0_1_
P	tr|H0YGW7|H0YGW7_HUMAN	0	1	0	2.2112281E-5	0	0.0519619	0	1	0	2.2%	ATP-binding cassette sub-family F member 1 (Fragment) OS=Homo sapiens GN=ABCF1 PE=3 SV=1 	1	0_1_	0_1_
P	tr|H0YH87|H0YH87_HUMAN	3	6	3.6851863E-5	1.15099734E-4	0.037528396	0.1271975	4	8	1.6%	5.2%	Ataxin-2 (Fragment) OS=Homo sapiens GN=ATXN2 PE=4 SV=1 	2	1_1_	1_1_
P	Q9BSJ8	20	2	2.0639044E-4	2.3874854E-5	0.29717934	0.028016329	27	2	11.3%	1.2%	Extended synaptotagmin-1 OS=Homo sapiens GN=ESYT1 PE=1 SV=1 	2	1_1_	1_1_
P	Q5T8D3	1	0	1.5803513E-5	0	0.071519256	0	1	0	3.0%	0	Acyl-CoA-binding domain-containing protein 5 OS=Homo sapiens GN=ACBD5 PE=1 SV=1 	1	1_0_	1_0_
P	tr|C9J9K3|C9J9K3_HUMAN	26	20	0.0012786479	0.0014476844	2.334264	2.334264	40	29	52.3%	52.3%	40S ribosomal protein SA (Fragment) OS=Homo sapiens GN=RPSA PE=2 SV=1 	2	1_1_	1_1_
P	tr|E9PJK1|E9PJK1_HUMAN	5	1	5.114592E-4	7.987224E-5	0.32129562	0.32129562	10	1	12.1%	12.1%	CD81 antigen OS=Homo sapiens GN=CD81 PE=2 SV=1 	2	1_1_	1_1_
P	Q14444	24	14	3.4518083E-4	3.1599664E-4	1.0749135	0.81970084	29	17	31.7%	26.0%	Caprin-1 OS=Homo sapiens GN=CAPRIN1 PE=1 SV=2 	2	1_1_	1_1_
P	tr|F5GYJ8|F5GYJ8_HUMAN	0	4	0	2.3040069E-4	0	0.36772883	0	5	0	13.6%	Ubiquitin thioesterase OTUB1 OS=Homo sapiens GN=OTUB1 PE=2 SV=1 	1	0_1_	0_1_
P	P00492	25	9	0.0012387634	7.858989E-4	2.5892193	0.9678863	32	13	55.5%	29.4%	Hypoxanthine-guanine phosphoribosyltransferase OS=Homo sapiens GN=HPRT1 PE=1 SV=2 	2	1_1_	1_1_
P	Q8TDJ6	1	0	2.7796693E-6	0	0.0069316626	0	1	0	0.3%	0	DmX-like protein 2 OS=Homo sapiens GN=DMXL2 PE=1 SV=2 	1	1_0_	1_0_
P	P00491	19	1	6.42421E-4	4.56018E-5	0.936422	0.15345323	22	1	28.7%	6.2%	Purine nucleoside phosphorylase OS=Homo sapiens GN=PNP PE=1 SV=2 	2	1_1_	1_1_
P	Q9BSH5	2	0	6.7243636E-5	0	0.38995266	0	2	0	14.3%	0	Haloacid dehalogenase-like hydrolase domain-containing protein 3 OS=Homo sapiens GN=HDHD3 PE=1 SV=1 	1	1_0_	1_0_
P	A2RRP1-2	1	0	3.7490342E-6	0	0.02093947	0	1	0	0.9%	0	Isoform 2 of Neuroblastoma-amplified sequence OS=Homo sapiens GN=NBAS 	1	1_0_	1_0_
P	Q8TDQ7	0	1	0	4.774971E-5	0	0.10407865	0	1	0	4.3%	Glucosamine-6-phosphate isomerase 2 OS=Homo sapiens GN=GNPDA2 PE=1 SV=1 	1	0_1_	0_1_
P	tr|H0Y512|H0Y512_HUMAN	10	7	3.0950157E-4	2.9000067E-4	0.92309177	0.4321879	15	9	28.4%	15.6%	Adipocyte plasma membrane-associated protein (Fragment) OS=Homo sapiens GN=APMAP PE=4 SV=1 	2	1_1_	1_1_
P	Q05519-2	3	6	5.2416624E-5	2.1828439E-4	0.083926916	0.19949937	3	8	3.5%	7.9%	Isoform 2 of Serine/arginine-rich splicing factor 11 OS=Homo sapiens GN=SRSF11 	2	1_1_	1_1_
P	tr|G5E933|G5E933_HUMAN	2	0	1.8070827E-5	0	0.023293018	0	4	0	1.0%	0	Myotubularin-related protein 5 OS=Homo sapiens GN=SBF1 PE=2 SV=1 	1	1_0_	1_0_
P	tr|E9PBJ5|E9PBJ5_HUMAN	0	4	0	1.06971755E-4	0	0.054386854	0	5	0	2.3%	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Homo sapiens GN=SDHA PE=2 SV=1 	1	0_1_	0_1_
P	tr|D3DTZ5|D3DTZ5_HUMAN	0	1	0	1.7340684E-4	0	1.0090928	0	1	0	30.3%	Suppressor of Ty 4 homolog 1 (S. cerevisiae), isoform CRA_b OS=Homo sapiens GN=SUPT4H1 PE=2 SV=1 	1	0_1_	0_1_
P	Q9UHA4	2	0	1.3611413E-4	0	0.68267405	0	2	0	22.6%	0	Ragulator complex protein LAMTOR3 OS=Homo sapiens GN=LAMTOR3 PE=1 SV=1 	1	1_0_	1_0_
P	tr|Q5TG39|Q5TG39_HUMAN	0	1	0	4.6241825E-5	0	0.17489755	0	1	0	7.0%	DNA methyltransferase 1-associated protein 1 (Fragment) OS=Homo sapiens GN=DMAP1 PE=2 SV=1 	1	0_1_	0_1_
P	tr|H7C4X9|H7C4X9_HUMAN	0	11	0	1.8053314E-4	0	0.09395635	0	15	0	3.9%	Protein kinase C-binding protein 1 (Fragment) OS=Homo sapiens GN=ZMYND8 PE=4 SV=2 	1	0_1_	0_1_
P	tr|E9PEJ4|E9PEJ4_HUMAN	0	3	0	1.2157675E-4	0	0.06659615	0	5	0	2.8%	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Homo sapiens GN=DLAT PE=2 SV=1 	1	0_1_	0_1_
P	tr|G3V1C3|G3V1C3_HUMAN	5	21	1.1583046E-4	6.4602547E-4	0.23594749	0.8238957	7	25	9.2%	26.1%	Apoptosis inhibitor 5 OS=Homo sapiens GN=API5 PE=2 SV=1 	2	1_1_	1_1_
P	Q14498	4	0	6.369114E-5	0	0.12979591	0	4	0	5.3%	0	RNA-binding protein 39 OS=Homo sapiens GN=RBM39 PE=1 SV=2 	1	1_0_	1_0_
P	tr|D6RBV2|D6RBV2_HUMAN	0	1	0	4.0550523E-5	0	0.2647363	0	1	0	10.2%	Vesicular integral-membrane protein VIP36 OS=Homo sapiens GN=LMAN2 PE=2 SV=1 	1	0_1_	0_1_
P	tr|C9K0S0|C9K0S0_HUMAN	1	0	4.611517E-5	0	0.22179961	0	1	0	8.7%	0	Putative adenosylhomocysteinase 3 (Fragment) OS=Homo sapiens GN=AHCYL2 PE=2 SV=1 	1	1_0_	1_0_
P	P35520	3	0	4.594778E-5	0	0.25314116	0	3	0	9.8%	0	Cystathionine beta-synthase OS=Homo sapiens GN=CBS PE=1 SV=2 	1	1_0_	1_0_
P	P35527	34	30	6.3665584E-4	9.942363E-4	2.2885165	1.8641782	47	47	51.7%	45.7%	Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3 	2	1_1_	1_1_
P	tr|K7EN94|K7EN94_HUMAN	4	0	1.9006927E-4	0	0.1324004	0	5	0	5.4%	0	TAR DNA-binding protein 43 (Fragment) OS=Homo sapiens GN=TARDBP PE=2 SV=1 	1	1_0_	1_0_
P	Q9UGQ3	1	0	1.6645121E-5	0	0.04712856	0	1	0	2.0%	0	Solute carrier family 2, facilitated glucose transporter member 6 OS=Homo sapiens GN=SLC2A6 PE=1 SV=2 	1	1_0_	1_0_
P	O94760	7	1	2.9610793E-4	9.248365E-5	0.5100801	0.23310483	10	2	17.9%	9.1%	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 OS=Homo sapiens GN=DDAH1 PE=1 SV=3 	2	1_1_	1_1_
P	tr|H3BSX5|H3BSX5_HUMAN	1	0	2.8130255E-4	0	2.981072	0	1	0	60.0%	0	Cytosolic phospholipase A2 beta (Fragment) OS=Homo sapiens GN=PLA2G4B PE=4 SV=1 	1	1_0_	1_0_
P	tr|E7EM64|E7EM64_HUMAN	1	0	2.5886737E-5	0	0.13501084	0	1	0	5.5%	0	COP9 signalosome complex subunit 6 OS=Homo sapiens GN=COPS6 PE=2 SV=1 	1	1_0_	1_0_
P	P00403	12	6	4.8329512E-4	4.063984E-4	0.7298163	0.455459	13	7	23.8%	16.3%	Cytochrome c oxidase subunit 2 OS=Homo sapiens GN=MT-CO2 PE=1 SV=1 	2	1_1_	1_1_
P	O94766	2	0	5.0382543E-5	0	0.3335215	0	2	0	12.5%	0	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3 OS=Homo sapiens GN=B3GAT3 PE=1 SV=2 	1	1_0_	1_0_
P	O94776	0	13	0	3.1566276E-4	0	0.6032454	0	16	0	20.5%	Metastasis-associated protein MTA2 OS=Homo sapiens GN=MTA2 PE=1 SV=1 	1	0_1_	0_1_
P	C9JLW8	4	3	3.4800312E-4	4.0759545E-4	0.6865531	0.6865531	4	3	22.7%	22.7%	Protein FAM195B OS=Homo sapiens GN=FAM195B PE=1 SV=1 	2	1_1_	1_1_
P	Q9BSF4	2	0	6.491597E-5	0	0.22461617	0	2	0	8.8%	0	Uncharacterized protein C19orf52 OS=Homo sapiens GN=C19orf52 PE=1 SV=2 	1	1_0_	1_0_
P	P49959-2	0	3	0	5.8142294E-5	0	0.19124198	0	3	0	7.6%	Isoform 2 of Double-strand break repair protein MRE11A OS=Homo sapiens GN=MRE11A 	1	0_1_	0_1_
P	Q5T7W0	0	1	0	1.38143805E-5	0	0.04712856	0	1	0	2.0%	Zinc finger protein 618 OS=Homo sapiens GN=ZNF618 PE=1 SV=1 	1	0_1_	0_1_
P	P35573	1	1	5.508535E-6	8.602428E-6	0.018591404	0.018591404	1	1	0.8%	0.8%	Glycogen debranching enzyme OS=Homo sapiens GN=AGL PE=1 SV=3 	2	1_1_	1_1_
P	Q5SW79	29	5	2.1310798E-4	4.9920152E-5	0.39315677	0.08143401	40	6	14.4%	3.4%	Centrosomal protein of 170 kDa OS=Homo sapiens GN=CEP170 PE=1 SV=1 	2	1_1_	1_1_
P	Q13976-2	1	0	1.2283954E-5	0	0.061695576	0	1	0	2.6%	0	Isoform Beta of cGMP-dependent protein kinase 1 OS=Homo sapiens GN=PRKG1 	1	1_0_	1_0_
