PLine	Accession	peptide_count_EXP19_CYT_050316(searched:2016-05-09)	peptide_count_EXP19_NUC_050316(searched:2016-05-09)	NSAF_EXP19_CYT_050316(searched:2016-05-09)	NSAF_EXP19_NUC_050316(searched:2016-05-09)	EMPAI_EXP19_CYT_050316(searched:2016-05-09)	EMPAI_EXP19_NUC_050316(searched:2016-05-09)	spectral_count_EXP19_CYT_050316(searched:2016-05-09)	spectral_count_EXP19_NUC_050316(searched:2016-05-09)	seqcov_EXP19_CYT_050316(searched:2016-05-09)	seqcov_EXP19_NUC_050316(searched:2016-05-09)	description	occurrence	status	
P	Q07866-4	36	7	5.30E-04	1.66E-04	1.22331	0.38038433	40	8	34.70%	14.00%	Isoform J of Kinesin light chain 1 OS=Homo sapiens GN=KLC1 	2	1_1_	1_1_
P	Q07866-3	36	7	5.99E-04	1.87E-04	1.4660394	0.43879855	40	8	39.20%	15.80%	Isoform G of Kinesin light chain 1 OS=Homo sapiens GN=KLC1 	2	1_1_	1_1_
P	Q07866-2	36	7	6.03E-04	1.88E-04	1.4831331	0.4421153	40	8	39.50%	15.90%	Isoform C of Kinesin light chain 1 OS=Homo sapiens GN=KLC1 	2	1_1_	1_1_
P	tr|Q5QPL9|Q5QPL9_HUMAN	0	9	0	5.00E-04	0	0.7906058	0	9	0	25.30%	RNA-binding protein Raly (Fragment) OS=Homo sapiens GN=RALY PE=2 SV=1 	1	0_1_	0_1_
P	O43660-2	0	4	0	1.57E-04	0	0.23310483	0	6	0	9.10%	Isoform 2 of Pleiotropic regulator 1 OS=Homo sapiens GN=PLRG1 	1	0_1_	0_1_
P	Q9UGI8	6	0	1.20E-04	0	0.32129562	0	6	0	12.10%	0	Testin OS=Homo sapiens GN=TES PE=1 SV=1 	1	1_0_	1_0_
P	Q02218-2	15	3	1.74E-04	3.88E-05	0.4927944	0.08143401	21	3	17.40%	3.40%	"Isoform 2 of 2-oxoglutarate dehydrogenase, mitochondrial OS=Homo sapiens GN=OGDH "	2	1_1_	1_1_
P	Q9BRX2	1	3	2.19E-05	1.37E-04	0.11429453	0.27643883	1	4	4.70%	10.60%	Protein pelota homolog OS=Homo sapiens GN=PELO PE=1 SV=2 	2	1_1_	1_1_
P	Reverse_tr|F8WE88|F8WE88_HUMAN	0	1	0	7.12E-06	0	0.02093947	0	1	0	0.90%	Unconventional myosin-Va OS=Homo sapiens GN=MYO5A PE=2 SV=1 	1	0_1_	0_1_
P	Q9BRX8	12	0	4.42E-04	0	0.57398295	0	12	0	19.70%	0	Redox-regulatory protein FAM213A OS=Homo sapiens GN=FAM213A PE=1 SV=3 	1	1_0_	1_0_
P	tr|E5RFS4|E5RFS4_HUMAN	0	1	0	2.03E-04	0	0.5848932	0	1	0	20.00%	Protein FAM49B (Fragment) OS=Homo sapiens GN=FAM49B PE=2 SV=1 	1	0_1_	0_1_
P	tr|Q5JXX1|Q5JXX1_HUMAN	0	1	0	8.34E-05	0	0.33967674	0	1	0	12.70%	Mortality factor 4-like protein 2 (Fragment) OS=Homo sapiens GN=MORF4L2 PE=2 SV=1 	1	0_1_	0_1_
P	Q5T8P6	0	3	0	5.23E-05	0	0.101539254	0	4	0	4.20%	RNA-binding protein 26 OS=Homo sapiens GN=RBM26 PE=1 SV=3 	1	0_1_	0_1_
P	P28161	8	0	3.10E-04	0	0.5417005	0	8	0	18.80%	0	Glutathione S-transferase Mu 2 OS=Homo sapiens GN=GSTM2 PE=1 SV=2 	1	1_0_	1_0_
P	P11171-3	1	0	1.32E-05	0	0.15345323	0	1	0	6.20%	0	Isoform 3 of Protein 4.1 OS=Homo sapiens GN=EPB41 	1	1_0_	1_0_
P	P11171-2	1	0	1.02E-05	0	0.11686325	0	1	0	4.80%	0	Isoform 2 of Protein 4.1 OS=Homo sapiens GN=EPB41 	1	1_0_	1_0_
P	P11171-5	1	0	1.09E-05	0	0.1271975	0	1	0	5.20%	0	Isoform 5 of Protein 4.1 OS=Homo sapiens GN=EPB41 	1	1_0_	1_0_
P	P11171-4	1	0	1.44E-05	0	0.1694994	0	1	0	6.80%	0	Isoform 4 of Protein 4.1 OS=Homo sapiens GN=EPB41 	1	1_0_	1_0_
P	P11171-7	1	0	1.17E-05	0	0.13762724	0	1	0	5.60%	0	Isoform 7 of Protein 4.1 OS=Homo sapiens GN=EPB41 	1	1_0_	1_0_
P	P11171-6	1	0	1.49E-05	0	0.17760599	0	1	0	7.10%	0	Isoform 6 of Protein 4.1 OS=Homo sapiens GN=EPB41 	1	1_0_	1_0_
P	tr|C9JVG3|C9JVG3_HUMAN	0	1	0	7.71E-05	0	0.27350307	0	1	0	10.50%	UTP--glucose-1-phosphate uridylyltransferase (Fragment) OS=Homo sapiens GN=UGP2 PE=2 SV=1 	1	0_1_	0_1_
P	Q9P287-3	1	0	2.89E-05	0	0.13501084	0	1	0	5.50%	0	Isoform 3 of BRCA2 and CDKN1A-interacting protein OS=Homo sapiens GN=BCCIP 	1	1_0_	1_0_
P	Q9UH03	3	25	7.07E-05	0.001325255	0.3520726	2.311311	3	36	13.10%	52.00%	Neuronal-specific septin-3 OS=Homo sapiens GN=SEPT3 PE=1 SV=3 	2	1_1_	1_1_
P	tr|R4GN06|R4GN06_HUMAN	2	1	3.52E-04	2.75E-04	0.7782794	0.7782794	2	1	25.00%	25.00%	COMM domain-containing protein 3 (Fragment) OS=Homo sapiens GN=COMMD3 PE=4 SV=1 	2	1_1_	1_1_
P	P08236-2	1	0	2.81E-05	0	0.07646525	0	2	0	3.20%	0	Isoform Short of Beta-glucuronidase OS=Homo sapiens GN=GUSB 	1	1_0_	1_0_
P	tr|B4DNN6|B4DNN6_HUMAN	1	0	1.34E-04	0	0.6069412	0	2	0	20.60%	0	Nucleoredoxin OS=Homo sapiens GN=NXN PE=2 SV=1 	1	1_0_	1_0_
P	tr|E9PJG4|E9PJG4_HUMAN	0	1	0	8.79E-05	0	0.23879659	0	1	0	9.30%	Squalene synthase (Fragment) OS=Homo sapiens GN=FDFT1 PE=2 SV=1 	1	0_1_	0_1_
P	tr|Q5QPQ1|Q5QPQ1_HUMAN	4	0	3.13E-04	0	0.8407719	0	6	0	26.50%	0	Acyl-protein thioesterase 2 (Fragment) OS=Homo sapiens GN=LYPLA2 PE=2 SV=1 	1	1_0_	1_0_
P	tr|F5H698|F5H698_HUMAN	41	18	3.58E-04	2.45E-04	0.9633602	0.38995266	48	21	29.30%	14.30%	"Leucine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=LARS PE=2 SV=1 "	2	1_1_	1_1_
P	tr|D6RE79|D6RE79_HUMAN	1	0	1.76E-05	0	0.06414306	0	1	0	2.70%	0	Major facilitator superfamily domain-containing protein 10 OS=Homo sapiens GN=MFSD10 PE=2 SV=1 	1	1_0_	1_0_
P	tr|E7EWA4|E7EWA4_HUMAN	11	1	8.58E-05	1.03E-05	0.18304157	0.02093947	13	1	7.30%	0.90%	Cytoplasmic FMR1-interacting protein 2 OS=Homo sapiens GN=CYFIP2 PE=2 SV=1 	2	1_1_	1_1_
P	Q9BRR6	1	0	1.70E-05	0	0.10662377	0	1	0	4.40%	0	ADP-dependent glucokinase OS=Homo sapiens GN=ADPGK PE=1 SV=1 	1	1_0_	1_0_
P	Q9BRP8	3	0	1.24E-04	0	0.64437175	0	3	0	21.60%	0	Partner of Y14 and mago OS=Homo sapiens GN=WIBG PE=1 SV=1 	1	1_0_	1_0_
P	P02647	1	2	3.16E-05	1.48E-04	0.1271975	0.25025904	1	3	5.20%	9.70%	Apolipoprotein A-I OS=Homo sapiens GN=APOA1 PE=1 SV=1 	2	1_1_	1_1_
P	Q9BS26	10	1	3.12E-04	3.25E-05	0.566751	0.10662377	15	1	19.50%	4.40%	Endoplasmic reticulum resident protein 44 OS=Homo sapiens GN=ERP44 PE=1 SV=1 	2	1_1_	1_1_
P	Q9BRQ6	1	0	7.18E-05	0	0.2647363	0	2	0	10.20%	0	"Coiled-coil-helix-coiled-coil-helix domain-containing protein 6, mitochondrial OS=Homo sapiens GN=CHCHD6 PE=1 SV=1 "	1	1_0_	1_0_
P	tr|H7C3T5|H7C3T5_HUMAN	1	1	3.26E-05	5.09E-05	0.20503592	0.20503592	1	1	8.10%	8.10%	"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1 (Fragment) OS=Homo sapiens GN=AGAP1 PE=4 SV=1 "	2	1_1_	1_1_
P	P31040	9	4	2.54E-04	9.92E-05	0.30617094	0.049542427	20	5	11.60%	2.10%	"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Homo sapiens GN=SDHA PE=1 SV=2 "	2	1_1_	1_1_
P	P02656	1	0	8.52E-05	0	0.4521116	0	1	0	16.20%	0	Apolipoprotein C-III OS=Homo sapiens GN=APOC3 PE=1 SV=1 	1	1_0_	1_0_
P	tr|F5GZV7|F5GZV7_HUMAN	6	0	5.09E-04	0	1.2130947	0	7	0	34.50%	0	Vesicle-associated membrane protein 1 OS=Homo sapiens GN=VAMP1 PE=2 SV=1 	1	1_0_	1_0_
P	tr|A6NGJ0|A6NGJ0_HUMAN	1	0	1.11E-04	0	0.29419577	0	2	0	11.20%	0	Dynein light chain Tctex-type 3 OS=Homo sapiens GN=DYNLT3 PE=2 SV=1 	1	1_0_	1_0_
P	tr|D6RFM0|D6RFM0_HUMAN	1	0	8.61E-05	0	0.5275661	0	1	0	18.40%	0	Ubiquitin-conjugating enzyme E2 D2 (Fragment) OS=Homo sapiens GN=UBE2D2 PE=2 SV=1 	1	1_0_	1_0_
P	P33316	1	0	6.70E-05	0	0.16680968	0	2	0	6.70%	0	"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial OS=Homo sapiens GN=DUT PE=1 SV=4 "	1	1_0_	1_0_
P	P51398-2	5	0	1.42E-04	0	0.3708818	0	6	0	13.70%	0	"Isoform 2 of 28S ribosomal protein S29, mitochondrial OS=Homo sapiens GN=DAP3 "	1	1_0_	1_0_
P	tr|J3KPI2|J3KPI2_HUMAN	52	14	7.20E-04	2.68E-04	1.3713737	0.58124804	63	15	37.50%	19.90%	Dynamin-1-like protein OS=Homo sapiens GN=DNM1L PE=2 SV=1 	2	1_1_	1_1_
P	P51398-3	5	0	1.39E-04	0	0.36458313	0	6	0	13.50%	0	"Isoform 3 of 28S ribosomal protein S29, mitochondrial OS=Homo sapiens GN=DAP3 "	1	1_0_	1_0_
P	Q8TDI0	0	8	0	6.74E-05	0	0.08143401	0	10	0	3.40%	Chromodomain-helicase-DNA-binding protein 5 OS=Homo sapiens GN=CHD5 PE=2 SV=1 	1	0_1_	0_1_
P	tr|E9PKZ0|E9PKZ0_HUMAN	3	5	1.23E-04	3.21E-04	0.39958727	0.4996848	3	5	14.60%	17.60%	60S ribosomal protein L8 (Fragment) OS=Homo sapiens GN=RPL8 PE=2 SV=1 	2	1_1_	1_1_
P	tr|E7EPC8|E7EPC8_HUMAN	6	2	4.47E-05	2.32E-05	0.1428783	0.09900582	6	2	5.80%	4.10%	Catenin delta-2 OS=Homo sapiens GN=CTNND2 PE=2 SV=1 	2	1_1_	1_1_
P	Q9GZY8-2	13	0	5.51E-04	0	1.4831331	0	19	0	39.50%	0	Isoform 2 of Mitochondrial fission factor OS=Homo sapiens GN=MFF 	1	1_0_	1_0_
P	tr|H9KVB8|H9KVB8_HUMAN	1	0	1.77E-05	0	0.096478224	0	1	0	4.00%	0	"Calcium uptake protein 1, mitochondrial OS=Homo sapiens GN=MICU1 PE=2 SV=1 "	1	1_0_	1_0_
P	tr|B0YIW2|B0YIW2_HUMAN	1	0	7.21E-05	0	0.3708818	0	1	0	13.70%	0	Apolipoprotein C-III OS=Homo sapiens GN=APOC3 PE=2 SV=1 	1	1_0_	1_0_
P	tr|H0Y4X3|H0Y4X3_HUMAN	4	0	1.00E-04	0	0.21059811	0	4	0	8.30%	0	RNA-binding protein 39 (Fragment) OS=Homo sapiens GN=RBM39 PE=4 SV=1 	1	1_0_	1_0_
P	Q6IN85	4	0	5.07E-05	0	0.054386854	0	5	0	2.30%	0	Serine/threonine-protein phosphatase 4 regulatory subunit 3A OS=Homo sapiens GN=SMEK1 PE=1 SV=1 	1	1_0_	1_0_
P	P26440-2	2	0	6.44E-05	0	0.42232883	0	3	0	15.30%	0	"Isoform 2 of Isovaleryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=IVD "	1	1_0_	1_0_
P	P18754-2	0	19	0	8.16E-04	0	1.2387211	0	28	0	35.00%	Isoform 2 of Regulator of chromosome condensation OS=Homo sapiens GN=RCC1 	1	0_1_	0_1_
P	tr|H0YGW7|H0YGW7_HUMAN	0	1	0	2.21E-05	0	0.0519619	0	1	0	2.20%	ATP-binding cassette sub-family F member 1 (Fragment) OS=Homo sapiens GN=ABCF1 PE=3 SV=1 	1	0_1_	0_1_
P	tr|H0YH87|H0YH87_HUMAN	3	6	3.69E-05	1.15E-04	0.037528396	0.1271975	4	8	1.60%	5.20%	Ataxin-2 (Fragment) OS=Homo sapiens GN=ATXN2 PE=4 SV=1 	2	1_1_	1_1_
P	Q9BSJ8	20	2	2.06E-04	2.39E-05	0.29717934	0.028016329	27	2	11.30%	1.20%	Extended synaptotagmin-1 OS=Homo sapiens GN=ESYT1 PE=1 SV=1 	2	1_1_	1_1_
P	Q5T8D3	1	0	1.58E-05	0	0.071519256	0	1	0	3.00%	0	Acyl-CoA-binding domain-containing protein 5 OS=Homo sapiens GN=ACBD5 PE=1 SV=1 	1	1_0_	1_0_
P	tr|C9J9K3|C9J9K3_HUMAN	26	20	0.001278648	0.001447684	2.334264	2.334264	40	29	52.30%	52.30%	40S ribosomal protein SA (Fragment) OS=Homo sapiens GN=RPSA PE=2 SV=1 	2	1_1_	1_1_
P	tr|E9PJK1|E9PJK1_HUMAN	5	1	5.11E-04	7.99E-05	0.32129562	0.32129562	10	1	12.10%	12.10%	CD81 antigen OS=Homo sapiens GN=CD81 PE=2 SV=1 	2	1_1_	1_1_
P	Q14444	24	14	3.45E-04	3.16E-04	1.0749135	0.81970084	29	17	31.70%	26.00%	Caprin-1 OS=Homo sapiens GN=CAPRIN1 PE=1 SV=2 	2	1_1_	1_1_
P	tr|F5GYJ8|F5GYJ8_HUMAN	0	4	0	2.30E-04	0	0.36772883	0	5	0	13.60%	Ubiquitin thioesterase OTUB1 OS=Homo sapiens GN=OTUB1 PE=2 SV=1 	1	0_1_	0_1_
P	P00492	25	9	0.001238763	7.86E-04	2.5892193	0.9678863	32	13	55.50%	29.40%	Hypoxanthine-guanine phosphoribosyltransferase OS=Homo sapiens GN=HPRT1 PE=1 SV=2 	2	1_1_	1_1_
P	Q8TDJ6	1	0	2.78E-06	0	0.006931663	0	1	0	0.30%	0	DmX-like protein 2 OS=Homo sapiens GN=DMXL2 PE=1 SV=2 	1	1_0_	1_0_
P	P00491	19	1	6.42E-04	4.56E-05	0.936422	0.15345323	22	1	28.70%	6.20%	Purine nucleoside phosphorylase OS=Homo sapiens GN=PNP PE=1 SV=2 	2	1_1_	1_1_
P	Q9BSH5	2	0	6.72E-05	0	0.38995266	0	2	0	14.30%	0	Haloacid dehalogenase-like hydrolase domain-containing protein 3 OS=Homo sapiens GN=HDHD3 PE=1 SV=1 	1	1_0_	1_0_
P	A2RRP1-2	1	0	3.75E-06	0	0.02093947	0	1	0	0.90%	0	Isoform 2 of Neuroblastoma-amplified sequence OS=Homo sapiens GN=NBAS 	1	1_0_	1_0_
P	Q8TDQ7	0	1	0	4.77E-05	0	0.10407865	0	1	0	4.30%	Glucosamine-6-phosphate isomerase 2 OS=Homo sapiens GN=GNPDA2 PE=1 SV=1 	1	0_1_	0_1_
P	tr|H0Y512|H0Y512_HUMAN	10	7	3.10E-04	2.90E-04	0.92309177	0.4321879	15	9	28.40%	15.60%	Adipocyte plasma membrane-associated protein (Fragment) OS=Homo sapiens GN=APMAP PE=4 SV=1 	2	1_1_	1_1_
P	Q05519-2	3	6	5.24E-05	2.18E-04	0.083926916	0.19949937	3	8	3.50%	7.90%	Isoform 2 of Serine/arginine-rich splicing factor 11 OS=Homo sapiens GN=SRSF11 	2	1_1_	1_1_
P	tr|G5E933|G5E933_HUMAN	2	0	1.81E-05	0	0.023293018	0	4	0	1.00%	0	Myotubularin-related protein 5 OS=Homo sapiens GN=SBF1 PE=2 SV=1 	1	1_0_	1_0_
P	tr|E9PBJ5|E9PBJ5_HUMAN	0	4	0	1.07E-04	0	0.054386854	0	5	0	2.30%	"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Homo sapiens GN=SDHA PE=2 SV=1 "	1	0_1_	0_1_
P	tr|D3DTZ5|D3DTZ5_HUMAN	0	1	0	1.73E-04	0	1.0090928	0	1	0	30.30%	"Suppressor of Ty 4 homolog 1 (S. cerevisiae), isoform CRA_b OS=Homo sapiens GN=SUPT4H1 PE=2 SV=1 "	1	0_1_	0_1_
P	Q9UHA4	2	0	1.36E-04	0	0.68267405	0	2	0	22.60%	0	Ragulator complex protein LAMTOR3 OS=Homo sapiens GN=LAMTOR3 PE=1 SV=1 	1	1_0_	1_0_
P	tr|Q5TG39|Q5TG39_HUMAN	0	1	0	4.62E-05	0	0.17489755	0	1	0	7.00%	DNA methyltransferase 1-associated protein 1 (Fragment) OS=Homo sapiens GN=DMAP1 PE=2 SV=1 	1	0_1_	0_1_
P	tr|H7C4X9|H7C4X9_HUMAN	0	11	0	1.81E-04	0	0.09395635	0	15	0	3.90%	Protein kinase C-binding protein 1 (Fragment) OS=Homo sapiens GN=ZMYND8 PE=4 SV=2 	1	0_1_	0_1_
P	tr|E9PEJ4|E9PEJ4_HUMAN	0	3	0	1.22E-04	0	0.06659615	0	5	0	2.80%	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Homo sapiens GN=DLAT PE=2 SV=1 "	1	0_1_	0_1_
P	tr|G3V1C3|G3V1C3_HUMAN	5	21	1.16E-04	6.46E-04	0.23594749	0.8238957	7	25	9.20%	26.10%	Apoptosis inhibitor 5 OS=Homo sapiens GN=API5 PE=2 SV=1 	2	1_1_	1_1_
P	Q14498	4	0	6.37E-05	0	0.12979591	0	4	0	5.30%	0	RNA-binding protein 39 OS=Homo sapiens GN=RBM39 PE=1 SV=2 	1	1_0_	1_0_
P	tr|D6RBV2|D6RBV2_HUMAN	0	1	0	4.06E-05	0	0.2647363	0	1	0	10.20%	Vesicular integral-membrane protein VIP36 OS=Homo sapiens GN=LMAN2 PE=2 SV=1 	1	0_1_	0_1_
P	tr|C9K0S0|C9K0S0_HUMAN	1	0	4.61E-05	0	0.22179961	0	1	0	8.70%	0	Putative adenosylhomocysteinase 3 (Fragment) OS=Homo sapiens GN=AHCYL2 PE=2 SV=1 	1	1_0_	1_0_
P	P35520	3	0	4.59E-05	0	0.25314116	0	3	0	9.80%	0	Cystathionine beta-synthase OS=Homo sapiens GN=CBS PE=1 SV=2 	1	1_0_	1_0_
P	P35527	34	30	6.37E-04	9.94E-04	2.2885165	1.8641782	47	47	51.70%	45.70%	"Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3 "	2	1_1_	1_1_
P	tr|K7EN94|K7EN94_HUMAN	4	0	1.90E-04	0	0.1324004	0	5	0	5.40%	0	TAR DNA-binding protein 43 (Fragment) OS=Homo sapiens GN=TARDBP PE=2 SV=1 	1	1_0_	1_0_
P	Q9UGQ3	1	0	1.66E-05	0	0.04712856	0	1	0	2.00%	0	"Solute carrier family 2, facilitated glucose transporter member 6 OS=Homo sapiens GN=SLC2A6 PE=1 SV=2 "	1	1_0_	1_0_
P	O94760	7	1	2.96E-04	9.25E-05	0.5100801	0.23310483	10	2	17.90%	9.10%	"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 OS=Homo sapiens GN=DDAH1 PE=1 SV=3 "	2	1_1_	1_1_
P	tr|H3BSX5|H3BSX5_HUMAN	1	0	2.81E-04	0	2.981072	0	1	0	60.00%	0	Cytosolic phospholipase A2 beta (Fragment) OS=Homo sapiens GN=PLA2G4B PE=4 SV=1 	1	1_0_	1_0_
P	tr|E7EM64|E7EM64_HUMAN	1	0	2.59E-05	0	0.13501084	0	1	0	5.50%	0	COP9 signalosome complex subunit 6 OS=Homo sapiens GN=COPS6 PE=2 SV=1 	1	1_0_	1_0_
P	P00403	12	6	4.83E-04	4.06E-04	0.7298163	0.455459	13	7	23.80%	16.30%	Cytochrome c oxidase subunit 2 OS=Homo sapiens GN=MT-CO2 PE=1 SV=1 	2	1_1_	1_1_
P	O94766	2	0	5.04E-05	0	0.3335215	0	2	0	12.50%	0	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3 OS=Homo sapiens GN=B3GAT3 PE=1 SV=2 	1	1_0_	1_0_
P	O94776	0	13	0	3.16E-04	0	0.6032454	0	16	0	20.50%	Metastasis-associated protein MTA2 OS=Homo sapiens GN=MTA2 PE=1 SV=1 	1	0_1_	0_1_
P	C9JLW8	4	3	3.48E-04	4.08E-04	0.6865531	0.6865531	4	3	22.70%	22.70%	Protein FAM195B OS=Homo sapiens GN=FAM195B PE=1 SV=1 	2	1_1_	1_1_
P	Q9BSF4	2	0	6.49E-05	0	0.22461617	0	2	0	8.80%	0	Uncharacterized protein C19orf52 OS=Homo sapiens GN=C19orf52 PE=1 SV=2 	1	1_0_	1_0_
P	P49959-2	0	3	0	5.81E-05	0	0.19124198	0	3	0	7.60%	Isoform 2 of Double-strand break repair protein MRE11A OS=Homo sapiens GN=MRE11A 	1	0_1_	0_1_
P	Q5T7W0	0	1	0	1.38E-05	0	0.04712856	0	1	0	2.00%	Zinc finger protein 618 OS=Homo sapiens GN=ZNF618 PE=1 SV=1 	1	0_1_	0_1_
P	P35573	1	1	5.51E-06	8.60E-06	0.018591404	0.018591404	1	1	0.80%	0.80%	Glycogen debranching enzyme OS=Homo sapiens GN=AGL PE=1 SV=3 	2	1_1_	1_1_
P	Q5SW79	29	5	2.13E-04	4.99E-05	0.39315677	0.08143401	40	6	14.40%	3.40%	Centrosomal protein of 170 kDa OS=Homo sapiens GN=CEP170 PE=1 SV=1 	2	1_1_	1_1_
P	Q13976-2	1	0	1.23E-05	0	0.061695576	0	1	0	2.60%	0	Isoform Beta of cGMP-dependent protein kinase 1 OS=Homo sapiens GN=PRKG1 	1	1_0_	1_0_
P	O14639-3	4	0	9.88E-05	0	0.2618276	0	5	0	10.10%	0	Isoform 3 of Actin-binding LIM protein 1 OS=Homo sapiens GN=ABLIM1 	1	1_0_	1_0_
P	Q9UH99	0	2	0	3.68E-05	0	0.061695576	0	2	0	2.60%	SUN domain-containing protein 2 OS=Homo sapiens GN=SUN2 PE=1 SV=3 	1	0_1_	0_1_
P	O00429-2	52	14	7.33E-04	2.73E-04	1.4099054	0.5958791	63	15	38.20%	20.30%	Isoform 4 of Dynamin-1-like protein OS=Homo sapiens GN=DNM1L 	2	1_1_	1_1_
P	O14639-4	4	0	1.05E-04	0	0.27938128	0	5	0	10.70%	0	Isoform 4 of Actin-binding LIM protein 1 OS=Homo sapiens GN=ABLIM1 	1	1_0_	1_0_
P	O00429-3	52	14	7.49E-04	2.78E-04	1.4547088	0.61064565	63	15	39.00%	20.70%	Isoform 2 of Dynamin-1-like protein OS=Homo sapiens GN=DNM1L 	2	1_1_	1_1_
P	O14639-5	4	0	9.27E-05	0	0.24451458	0	5	0	9.50%	0	Isoform 5 of Actin-binding LIM protein 1 OS=Homo sapiens GN=ABLIM1 	1	1_0_	1_0_
P	O00429-4	52	14	7.61E-04	2.83E-04	1.4888573	0.6218101	63	15	39.60%	21.00%	Isoform 3 of Dynamin-1-like protein OS=Homo sapiens GN=DNM1L 	2	1_1_	1_1_
P	O00429-5	52	14	7.49E-04	2.78E-04	1.4547088	0.61064565	63	15	39.00%	20.70%	Isoform 5 of Dynamin-1-like protein OS=Homo sapiens GN=DNM1L 	2	1_1_	1_1_
P	O00429-6	52	14	7.10E-04	2.64E-04	1.3442287	0.5703628	63	15	37.00%	19.60%	Isoform 6 of Dynamin-1-like protein OS=Homo sapiens GN=DNM1L 	2	1_1_	1_1_
